person,province,party,age,gender
SWONDAHA JEREMIAH MAHWAI,LIMPOPO,DEMOCRATIC ALLIANCE,60 and over,Male
JOHANNA FREDRIKA TERBLANCHE,NORTH WEST,DEMOCRATIC ALLIANCE,60 and over,Female
NORMAN EWART CLEGG BARLOW,NORTH WEST,DEMOCRATIC ALLIANCE,30 - 39,Male
WILLIE BEKKER,NORTH WEST,DEMOCRATIC ALLIANCE,50 - 59,Male
AGATHA WILHELMINA CILLIERS,NORTH WEST,DEMOCRATIC ALLIANCE,60 and over,Female
RYAN COETZEE,WESTERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Male
ALBERT THEO FRITZ,WESTERN CAPE,DEMOCRATIC ALLIANCE,50 - 59,Male
ERIK JOHANNES MARAIS,WESTERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Male
ERASMUS JOHANNES VAN ZYL,WESTERN CAPE,DEMOCRATIC ALLIANCE,40 - 49,Male
THEUNIS LOUIS BOTHA,WESTERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Male
JACOBUS PETRUS JOHANNES BOTHA,WESTERN CAPE,DEMOCRATIC ALLIANCE,60 and over,Male
VINESH BHARATH CHUTURGOON,EASTERN CAPE,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
VINESH BHARATH CHUTURGOON,FREE STATE,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
VINESH BHARATH CHUTURGOON,GAUTENG,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
VINESH BHARATH CHUTURGOON,KWAZULU-NATAL,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
VINESH BHARATH CHUTURGOON,MPUMALANGA,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
VINESH BHARATH CHUTURGOON,NORTHERN CAPE,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
VINESH BHARATH CHUTURGOON,LIMPOPO,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
VINESH BHARATH CHUTURGOON,NORTH WEST,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
VINESH BHARATH CHUTURGOON,WESTERN CAPE,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
CLIVE JONATHAN NJELA,EASTERN CAPE,INDEPENDENT DEMOCRATS,60 and over,Male
ANGELINE CECILIA ERASMUS,EASTERN CAPE,INDEPENDENT DEMOCRATS,60 and over,Female
BOERMAN JOSEPH WADE,EASTERN CAPE,INDEPENDENT DEMOCRATS,50 - 59,Male
SURAYA HOLT,FREE STATE,INDEPENDENT DEMOCRATS,60 and over,Female
MERVYN HYMAN CIROTA,GAUTENG,INDEPENDENT DEMOCRATS,50 - 59,Male
JOHANNA PHUTI NOMVETE,GAUTENG,INDEPENDENT DEMOCRATS,60 and over,Female
UNUS JOOSUB,GAUTENG,INDEPENDENT DEMOCRATS,40 - 49,Male
ISAAC VINCENT SYMONS,GAUTENG,INDEPENDENT DEMOCRATS,40 - 49,Male
SONWABILE AUBREY TSHALATA,KWAZULU-NATAL,INDEPENDENT DEMOCRATS,60 and over,Male
DEVCHAND GEEVAN NATHOO,KWAZULU-NATAL,INDEPENDENT DEMOCRATS,40 - 49,Male
KONANANI ESTHER GOGOME,KWAZULU-NATAL,INDEPENDENT DEMOCRATS,60 and over,Female
JAMES MBETSE,MPUMALANGA,INDEPENDENT DEMOCRATS,50 - 59,Male
DIKELEDI SAPINA MORARI,MPUMALANGA,INDEPENDENT DEMOCRATS,60 and over,Female
ISMAIL OBARAY,NORTHERN CAPE,INDEPENDENT DEMOCRATS,60 and over,Male
SOLANI PHANUEL GUDLHUZA,LIMPOPO,INDEPENDENT DEMOCRATS,50 - 59,Male
NALEDZANI FLONAH MULAUDZI,LIMPOPO,INDEPENDENT DEMOCRATS,60 and over,Female
AGNES TSAMAI,NORTH WEST,INDEPENDENT DEMOCRATS,50 - 59,Female
MANGKANANA MPHO AGNES MASIA-NOBULA,NORTH WEST,INDEPENDENT DEMOCRATS,60 and over,Female
LANCE WILLIAM GREYLING,WESTERN CAPE,INDEPENDENT DEMOCRATS,60 and over,Male
JENNIFER SHARON BOTHA,WESTERN CAPE,INDEPENDENT DEMOCRATS,50 - 59,Female
BABALWA MURIEL GATYENI,EASTERN CAPE,INKATHA FREEDOM PARTY,50 - 59,Female
NOCAWE ELFINA YAWA,EASTERN CAPE,INKATHA FREEDOM PARTY,60 and over,Female
PHUMLA MQWALA,EASTERN CAPE,INKATHA FREEDOM PARTY,60 and over,Female
BONGISWA GXEKWA,EASTERN CAPE,INKATHA FREEDOM PARTY,60 and over,Female
VUYANE ZAMANI,EASTERN CAPE,INKATHA FREEDOM PARTY,60 and over,Male
SONWABO TSHOLEKA,EASTERN CAPE,INKATHA FREEDOM PARTY,60 and over,Male
NOLUDWE PALISA ARETHA WIGGINS,EASTERN CAPE,INKATHA FREEDOM PARTY,60 and over,Female
SIKA LUCAS MOLOI,FREE STATE,INKATHA FREEDOM PARTY,60 and over,Male
SABELO CLARENCE SIGUDU,FREE STATE,INKATHA FREEDOM PARTY,60 and over,Male
MARVELLOUS THOKOZILE SIMELANE,FREE STATE,INKATHA FREEDOM PARTY,60 and over,Female
KHAHLISO BEAUTY MANTSOE,FREE STATE,INKATHA FREEDOM PARTY,60 and over,Female
YVONNE MEISIE JABULILE TSHABALALA,FREE STATE,INKATHA FREEDOM PARTY,60 and over,Female
NGWENDE JONAS SIMELANE,FREE STATE,INKATHA FREEDOM PARTY,60 and over,Male
DAVID MPHATSISI MOLOI,FREE STATE,INKATHA FREEDOM PARTY,60 and over,Male
BONGINKOSI WESLEY DHLAMINI,GAUTENG,INKATHA FREEDOM PARTY,60 and over,Male
MARIA TSHABALALA,GAUTENG,INKATHA FREEDOM PARTY,60 and over,Female
HENDRIK JACOBUS BEKKER,GAUTENG,INKATHA FREEDOM PARTY,40 - 49,Male
SIPHO MZWAKHE SITHOLE,GAUTENG,INKATHA FREEDOM PARTY,50 - 59,Male
FIKELEPHI GAMEDE,GAUTENG,INKATHA FREEDOM PARTY,50 - 59,Female
JAN ADRIAAN ESTERHUIZEN,GAUTENG,INKATHA FREEDOM PARTY,40 - 49,Male
PHILANI DLOMO,GAUTENG,INKATHA FREEDOM PARTY,60 and over,Male
MADALA ABRAM MZIZI,GAUTENG,INKATHA FREEDOM PARTY,40 - 49,Male
KEITH MUNTUWENKOSI ZONDI,KWAZULU-NATAL,INKATHA FREEDOM PARTY,60 and over,Male
NAREND SINGH,KWAZULU-NATAL,INKATHA FREEDOM PARTY,50 - 59,Male
VELAPHI BETHUEL NDLOVU,KWAZULU-NATAL,INKATHA FREEDOM PARTY,40 - 49,Male
ERIC JAMES LUCAS,KWAZULU-NATAL,INKATHA FREEDOM PARTY,30 - 39,Male
PETER FRANCIS SMITH,KWAZULU-NATAL,INKATHA FREEDOM PARTY,50 - 59,Male
ALFRED MKHIPHENI MPONTSHANE,KWAZULU-NATAL,INKATHA FREEDOM PARTY,50 - 59,Male
RUSSEL NSIKAYEZWE CEBEKHULU,KWAZULU-NATAL,INKATHA FREEDOM PARTY,50 - 59,Male
HILDAH SIZAKELE MSWELI,KWAZULU-NATAL,INKATHA FREEDOM PARTY,40 - 49,Female
BUSAPHI ELEONOR MACHI,KWAZULU-NATAL,INKATHA FREEDOM PARTY,50 - 59,Female
BHEKA GLADWIN NDLELA,KWAZULU-NATAL,INKATHA FREEDOM PARTY,40 - 49,Male
IVAN ROWEN BARNES,KWAZULU-NATAL,INKATHA FREEDOM PARTY,60 and over,Male
BONGOKWAKHE MTHOKOZISI NZUZA,KWAZULU-NATAL,INKATHA FREEDOM PARTY,60 and over,Male
VANESHREE ANAMALAY,KWAZULU-NATAL,INKATHA FREEDOM PARTY,60 and over,Female
MZIKAYISE GABRIEL ZULU,KWAZULU-NATAL,INKATHA FREEDOM PARTY,50 - 59,Male
ABEL MTHENJWA HLONGWANE,KWAZULU-NATAL,INKATHA FREEDOM PARTY,60 and over,Male
BHEKIZIZWE NIVARD LUTHULI,KWAZULU-NATAL,INKATHA FREEDOM PARTY,50 - 59,Male
EDWARD MNGADI,KWAZULU-NATAL,INKATHA FREEDOM PARTY,50 - 59,Male
NCAMISILE JERICH NKWANYANA,KWAZULU-NATAL,INKATHA FREEDOM PARTY,50 - 59,Female
ABBIE NOMABANDLA THOKOZANI 380 MCHUNU,KWAZULU-NATAL,INKATHA FREEDOM PARTY,60 and over,Male
